trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
90,False,"{'a': 0.5, 'e': 0.4047319726783238}",25,0,-1.241763269652143,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
91,False,"{'a': 0.5, 'e': 0.40068465295154054}",30,0,-92.7823868544011,"{0: 21, 1: 2, 2: 3, 3: 4, 4: 0}",0
92,False,"{'a': 0.5, 'e': 0.3966778064220251}",20,0,15.814410475271158,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.39271102835780486}",25,2,-16.219988288355335,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 1}",1
94,False,"{'a': 0.5, 'e': 0.3887839180742268}",25,0,-190.6462969541944,"{0: 15, 1: 0, 2: 5, 3: 2, 4: 3}",0
95,False,"{'a': 0.5, 'e': 0.38489607889348454}",20,0,-27.379909354117125,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
96,False,"{'a': 0.5, 'e': 0.38104711810454966}",35,8,-25.426647061008463,"{0: 21, 1: 1, 2: 5, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.37723664692350417}",25,0,-72.18968664411162,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
98,False,"{'a': 0.5, 'e': 0.37346428045426916}",25,9,19.289956991101086,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.36972963764972644}",20,0,0.12278537989685923,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
100,False,"{'a': 0.5, 'e': 0.3660323412732292}",35,22,-9.594396909362985,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.3623720178604969}",30,0,-20.52498454368057,"{0: 23, 1: 4, 2: 3, 3: 0, 4: 0}",0
102,False,"{'a': 0.5, 'e': 0.3587482976818919}",30,12,-62.12379154041997,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 2}",1
103,False,"{'a': 0.5, 'e': 0.355160814705073}",20,8,-41.94172876085233,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 1}",1
104,False,"{'a': 0.5, 'e': 0.35160920655802225}",25,9,-3.6339844751108688,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.348093114492442}",20,4,-23.049496437381727,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.3446121833475176}",25,8,-7.542563801316603,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.34116606151404244}",20,0,-44.93683778108377,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
108,False,"{'a': 0.5, 'e': 0.337754400898902}",25,17,15.463900455812599,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.334376856889913}",20,12,15.37352827461319,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.33103308832101386}",20,0,-30.248515269025116,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
111,False,"{'a': 0.5, 'e': 0.3277227574378037}",20,1,-3.765526766883359,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.3244455298634257}",30,15,21.70009462879568,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.3212010745647914}",30,0,-28.77477527142633,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
114,False,"{'a': 0.5, 'e': 0.3179890638191435}",25,3,-0.1824010868592314,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
